,,,,,,,,,,,,
,INFORMATIVNÍ ČÁST,,INFORMATIVNÍ ČÁST,,,,,,MĚNITELNÁ ČÁST,,,
,id,zaměření,lokalita,typ tábora,termín,stav,aktuální cena,,základní cena,zlevněná cena,týdenní navýšení,kapacita
,#3074,HUDEBNÍ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,,,2400,1700,22,5
,#2505,VÝTVARNÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,,,4100,2900,37,19
,#2503,VÝTVARNÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,,,4100,2900,37,21
,#2504,VÝTVARNÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,,,2100,1500,19,6
,#359,VÝTVARNÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,,,2100,1500,19,4
,#2141,TÁBOR SE PSY,LANWOOD - LANŠKROUN,POBYTOVÝ,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,,,4100,2900,37,21
,#2508,TÁBOR SE PSY,LANWOOD - LANŠKROUN,POBYTOVÝ,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,,,4100,2900,37,19
,#2140,TÁBOR SE PSY,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,,,2100,1500,19,5
,#2507,TÁBOR SE PSY,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,,,2100,1500,19,3
,#2513,TÁBOR S MAZLÍČKY,LANWOOD - LANŠKROUN,POBYTOVÝ,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,,,4100,2900,37,21
,#2511,TÁBOR S MAZLÍČKY,LANWOOD - LANŠKROUN,POBYTOVÝ,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,,,4100,2900,37,22
,#2512,TÁBOR S MAZLÍČKY,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,,,2100,1500,19,7
,#479,TÁBOR S MAZLÍČKY,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,,,2100,1500,19,6
,#2435,JEZDECKÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,,,5100,3700,41,13
,#2434,JEZDECKÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,,,2700,1900,25,4
,#2523,TÁBOR NA FARMĚ,LANWOOD - LANŠKROUN,POBYTOVÝ,7. týden (12. 8. 2018 - 19. 8. 2018),aktivní,,,4600,3300,39,16
,#2522,TÁBOR NA FARMĚ,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,,,2400,1700,22,5
,#2544,LYŽAŘSKÝ TÁBOR,ŽIŽKOVA BOUDA - PEC POD SNĚŽKOU,POBYTOVÝ,Velikonoce (29. 3. 2018 - 2. 4. 2018),aktivní,,,4100,2900,60,29
,#2555,JARNÍ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,květen (5. 5. 2018 - 8. 5. 2018),x,,,,,,
,#2558,TÁBOR PRO NEJMENŠÍ,LANWOOD - LANŠKROUN,POBYTOVÝ,1. týden (30. 6. 2018 - 4. 7. 2018),aktivní,,,2490,1580,20,20
,#2559,TÁBOR PRO NEJMENŠÍ,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,1. týden (1. 7. 2018 - 3. 7. 2018),aktivní,,,1250,850,12,5
,#2565,VŠEOBECNÝ TÁBOR,SEJFY U TRUTNOVA,POBYTOVÝ,2. týden (7. 7. 2018 - 14. 7. 2018),x,,,,,,
,#570,VŠEOBECNÝ TÁBOR,SEJFY U TRUTNOVA,POBYTOVÝ,3. týden (14. 7. 2018 - 21. 7. 2018),x,,,,,,
,#2564,VŠEOBECNÝ TÁBOR,SEJFY U TRUTNOVA,PŘÍMĚSTSKÝ - DENNÍ,2. týden (8. 7. 2018 - 13. 7. 2018),x,,,,,,
,#569,VŠEOBECNÝ TÁBOR,SEJFY U TRUTNOVA,PŘÍMĚSTSKÝ - DENNÍ,3. týden (15. 7. 2018 - 20. 7. 2018),x,,,,,,
,#2594,ADVENTURE CAMP,ŽIŽKOVA BOUDA - PEC POD SNĚŽKOU,POBYTOVÝ,2. týden (8. 7. 2018 - 13. 7. 2018),aktivní,,,4100,2900,37,32
,#2593,ADVENTURE CAMP,ŽIŽKOVA BOUDA - PEC POD SNĚŽKOU,POBYTOVÝ,3. týden (15. 7. 2018 - 20. 7. 2018),aktivní,,,4100,2900,37,31
,#2592,ADVENTURE CAMP,ŽIŽKOVA BOUDA - PEC POD SNĚŽKOU,POBYTOVÝ,5. týden (29. 7. 2018 - 3. 8. 2018),aktivní,,,4100,2900,37,28
,#2591,ADVENTURE CAMP,ŽIŽKOVA BOUDA - PEC POD SNĚŽKOU,POBYTOVÝ,6. týden (5. 8. 2018 - 10. 8. 2018),aktivní,,,4100,2900,37,28
,#2601,CYKLISTICKÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,,,4100,2900,37,16
,#2600,CYKLISTICKÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,,,2100,1500,19,6
,#2605,LEZECKÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,4. týden (22. 7. 2018 - 29. 7. 2018),aktivní,,,4600,3300,39,15
,#2604,LEZECKÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,4. týden ( 23. 7. 2018 - 28. 7. 2018),aktivní,,,2400,1700,22,4
,#2632,VODÁCKÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,1. týden (1. 7. 2018 - 8. 7. 2018),aktivní,,,4600,3300,39,17
,#2653,YACHTAŘSKÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,,,5100,3700,41,18
,#2651,YACHTAŘSKÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,,,5100,3700,41,16
,#2652,YACHTAŘSKÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,,,2700,1900,25,4
,#2650,YACHTAŘSKÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,,,2700,1900,25,5
,#2660,HASIČSKÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,9. týden (26. 8. 2018 - 1. 9. 2018),aktivní,,,3500,2400,30,33
,#2661,HASIČSKÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,9. týden (27. 8. 2018 - 31. 8. 2018),aktivní,,,1750,1250,15,8
,#3008,TÁBOR S ANGLIČTINOU,LANWOOD - LANŠKROUN,POBYTOVÝ,1. týden (1. 7. 2018 - 8. 7. 2018),aktivní,,,4600,3300,39,16
,#2664,TÁBOR S ANGLIČTINOU,LANWOOD - LANŠKROUN,POBYTOVÝ,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,,,4600,3300,39,15
,#3007,TÁBOR S ANGLIČTINOU,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,1. týden (2. 7. 2018 - 7. 7. 2018),aktivní,,,2400,1700,22,5
,#2663,TÁBOR S ANGLIČTINOU,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,,,2400,1700,22,4
,#2682,FOTOGRAFICKÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,3. týden (15. 7. 2018 - 22. 7. 2018),aktivní,,,4600,3300,39,19
,#2681,FOTOGRAFICKÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,3. týden (16. 7. 2018 - 21. 7. 2018),aktivní,,,2400,1700,22,5
,#2699,GEOCACHING CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,2. týden (8. 7. 2018 - 15. 7. 2018),aktivní,,,4100,2900,37,21
,#2697,GEOCACHING CAMP,LANWOOD - LANŠKROUN,POBYTOVÝ,6. týden (5. 8. 2018 - 12. 8. 2018),aktivní,,,4100,2900,37,18
,#2698,GEOCACHING CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,2. týden (9. 7. 2018 - 14. 7. 2018),aktivní,,,2100,1500,19,5
,#2696,GEOCACHING CAMP,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,6. týden (6. 8. 2018 - 11. 8. 2018),aktivní,,,2100,1500,19,4
,#2713,TÁBOR DESKOVÝCH HER,LANWOOD - LANŠKROUN,POBYTOVÝ,7. týden (12. 8. 2018 - 19. 8. 2018),aktivní,,,4100,2900,37,17
,#363,TÁBOR DESKOVÝCH HER,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,7. týden (13. 8. 2018 - 18. 8. 2018),aktivní,,,2100,1500,19,6
,#2747,TÉMATICKÝ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,,,4100,2900,37,22
,#326,TÉMATICKÝ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,,,2100,1500,19,6
,#2750,RELAXAČNÍ TÁBOR,LANWOOD - LANŠKROUN,POBYTOVÝ,,x,,,,,,
,#2749,RELAXAČNÍ TÁBOR,LANWOOD - LANŠKROUN,PŘÍMĚSTSKÝ - DENNÍ,,x,,,,,,
