,,,,,,,,,,,,,
,INFORMATIVNÍ ČÁST,,INFORMATIVNÍ ČÁST,,,,,,,MĚNITELNÁ ČÁST,,,
,id,zaměření,lokalita,typ tábora,termín,stav,aktuální cena,aktuální kapacita,,základní cena,zlevněná cena,týdenní navýšení,celková kapacita
,#3006,VOLEJBALOVÝ TÁBOR,Lanškroun,Pobytový tábor,5. týden (29. 7. 2018 - 5. 8. 2018),aktivní,3492,22,,4100,2900,37,8
,#2419,VOLEJBALOVÝ TÁBOR,Lanškroun,Pobytový tábor,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,3492,22,,4100,2900,37,8
,#3005,VOLEJBALOVÝ TÁBOR,Lanškroun,Příměstský tábor,5. týden (30. 7. 2018 - 4. 8. 2018),aktivní,1804,7,,2100,1500,19,4
,#2418,VOLEJBALOVÝ TÁBOR,Lanškroun,Příměstský tábor,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,1804,5,,2100,1500,19,4
,#309,MODELINGOVÝ TÁBOR,Lanškroun,Pobytový tábor,1. týden (1. 7. 2018 - 8. 7. 2018),aktivní,3924,15,,4600,3300,39,8
,#2456,MODELINGOVÝ TÁBOR,Lanškroun,Příměstský tábor,1. týden (2. 7. 2018 - 7. 7. 2018),aktivní,2052,3,,2400,1700,22,4
,#483,FILMOVÝ TÁBOR,Lanškroun,Pobytový tábor,1. týden (1. 7. 2018 - 8. 7. 2018),aktivní,4356,12,,5100,3700,41,8
,#2459,FILMOVÝ TÁBOR,Lanškroun,Pobytový tábor,8. týden (19. 8. 2018 - 26. 8. 2018),aktivní,4356,8,,5100,3700,41,8
,#2460,FILMOVÝ TÁBOR,Lanškroun,Příměstský tábor,1. týden (2. 7. 2018 - 7. 7. 2018),aktivní,2300,4,,2700,1900,25,4
,#2458,FILMOVÝ TÁBOR,Lanškroun,Příměstský tábor,8. týden (20. 8. 2018 - 25. 8. 2018),aktivní,2300,4,,2700,1900,25,4
,#464,YOUTUBE CAMP,Lanškroun,Příměstský tábor,7. týden (13. 8. 2018 - 18. 8. 2018),x,0,0,,,,,0
,#2493,YOUTUBE CAMP,Lanškroun,Pobytový tábor,7. týden (12. 8. 2018 - 19. 8. 2018),x,0,0,,,,,0
,#543,HUDEBNÍ TÁBOR,Lanškroun,Pobytový tábor,4. týden (22. 7. 2018 - 29. 7. 2018),aktivní,3924,16,,4600,3300,39,8
,#3075,HUDEBNÍ TÁBOR,Lanškroun,Pobytový tábor,7. týden (12. 8. 2018 - 19. 8. 2018),aktivní,3924,16,,4600,3300,39,8
,#2473,HUDEBNÍ TÁBOR,Lanškroun,Příměstský tábor,4. týden (23. 7. 2018 - 28. 7. 2018),aktivní,2052,4,,2400,1700,22,4
