INFORMATIVNÍ ČÁST,,INFORMATIVNÍ ČÁST,,,,,,EDITOVATELNÁ ČÁST,,,,
id,,místo odjezdu / příjezdu,směr,termín,lokalita ,volná místa,,aktuální cena,základní cena,počáteční cena,týdenní navýšení,celková kapacita
#14538,SPOLEČNÁ DOPRAVA,Kolín,Z tábora,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,242,242,242,0,100
#14539,SPOLEČNÁ DOPRAVA,Kolín,Z tábora,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,242,242,242,0,100
#22633,SPOLEČNÁ DOPRAVA,Zábřeh,Tam i zpět,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,346,346,346,0,100
#14540,SPOLEČNÁ DOPRAVA,Kolín,Z tábora,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,242,242,242,0,100
#14541,SPOLEČNÁ DOPRAVA,Kolín,Tam i zpět,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,484,484,484,0,100
#14542,SPOLEČNÁ DOPRAVA,Kolín,Tam i zpět,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,98,,484,484,484,0,100
#14543,SPOLEČNÁ DOPRAVA,Kolín,Tam i zpět,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,100,,484,484,484,0,100
#14544,SPOLEČNÁ DOPRAVA,Kolín,Tam i zpět,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,484,484,484,0,100
#14545,SPOLEČNÁ DOPRAVA,Kolín,Tam i zpět,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,484,484,484,0,100
#14546,SPOLEČNÁ DOPRAVA,Kolín,Tam i zpět,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,100,,484,484,484,0,100
#14547,SPOLEČNÁ DOPRAVA,Kolín,Tam i zpět,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,484,484,484,0,100
#14548,SPOLEČNÁ DOPRAVA,Kolín,Tam i zpět,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,484,484,484,0,100
#14549,SPOLEČNÁ DOPRAVA,Kolín,Tam i zpět,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,484,484,484,0,100
#14457,SPOLEČNÁ DOPRAVA,Olomouc,Z tábora,7. týden (13. 8. 2023 - 19. 8. 2023),RC Lanwood - Lanškroun,100,,224,224,224,0,100
#14458,SPOLEČNÁ DOPRAVA,Olomouc,Z tábora,8. týden (20. 8. 2023 - 26. 8. 2023),RC Lanwood - Lanškroun,100,,224,224,224,0,100
#14459,SPOLEČNÁ DOPRAVA,Olomouc,Z tábora,9. týden (27. 8. 2023 - 1. 9. 2023),RC Lanwood - Lanškroun,100,,224,224,224,0,100
#14460,SPOLEČNÁ DOPRAVA,Olomouc,Tam i zpět,1. týden (2. 7. 2023 - 8. 7. 2023),RC Lanwood - Lanškroun,100,,448,448,448,0,100
#14461,SPOLEČNÁ DOPRAVA,Olomouc,Tam i zpět,2. týden (9. 7. 2023 - 15. 7. 2023),RC Lanwood - Lanškroun,100,,448,448,448,0,100
#14462,SPOLEČNÁ DOPRAVA,Olomouc,Tam i zpět,3. týden (16. 7. 2023 - 22. 7. 2023),RC Lanwood - Lanškroun,100,,448,448,448,0,100
#14463,SPOLEČNÁ DOPRAVA,Olomouc,Tam i zpět,4. týden (23. 7. 2023 - 29. 7. 2023),RC Lanwood - Lanškroun,100,,448,448,448,0,100
#14464,SPOLEČNÁ DOPRAVA,Olomouc,Tam i zpět,5. týden (30. 7. 2023 - 5. 8. 2023),RC Lanwood - Lanškroun,100,,448,448,448,0,100
#14465,SPOLEČNÁ DOPRAVA,Olomouc,Tam i zpět,6. týden (6. 8. 2023 - 12. 8. 2023),RC Lanwood - Lanškroun,98,,448,448,448,0,100
